product_line_name,product_line_image,model_name,model_image,efficiency
Amana Cloud Services,https://www.amana-hac.com/images/default-source/categories/amana-cloud.png,Amana Home App,https://www.amana-hac.com/images/default-source/products/prod-amana-home.png,
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ALXS4N,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,Up to 15.2 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ALXS4B,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,Up to 15.2 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXV9,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,UP TO 23.5 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXC7,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,Up to 17.2 SEER2 Performance
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXS6 S-series,https://www.amana-hac.com/images/default-source/new-amana-product-images/asxv6.jpg,UP TO 17.2 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,AXV6S S-series,https://www.amana-hac.com/images/default-source/new-amana-product-images/asxv6.jpg,UP TO 17.2 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ALXT7C,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,Up to 17.2 SEER2 Performance
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,AXV9S S-Series,https://www.amana-hac.com/images/default-source/default-album/axv9s.png,UP TO 19 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXH5,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,Up to 17 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ALXS5B,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,Up to 17 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXN4,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,UP TO 15.2 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXH4,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,UP TO 15.2 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ALXS3B,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,UP TO 14.5 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ALXS3N,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,UP TO 14.5 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXN3,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,UP TO 14.5 SEER2
Air Conditioners,https://www.amana-hac.com/images/default-source/default-album/air-conditionersabb2660022fa6258827eff0b00754798.png,ASXH3,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,UP TO 14.5 SEER2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,AZV9S S-Series,https://www.amana-hac.com/images/default-source/products/az9vsn.png,Up to 19 SEER2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,AZV6S S-SERIES,https://www.amana-hac.com/images/default-source/new-amana-product-images/asxv6.jpg,Up to 19.0 SEER2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,AZV7S S-SERIES,https://www.amana-hac.com/images/default-source/new-amana-product-images/asxv6.jpg,UP TO 19.0 SEER2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ALZT7C,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,UP TO 17.2 SEER2 and 8.2 HSPF2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ASZC7,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,UP TO 17.2 SEER2 and 8.2 HSPF2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ASZN4,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,15.2 SEER2 and 7.8 HSPF2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ALZS4N,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ASZH4,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,15.2 SEER2 and 7.8 HSPF2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ALZS4B,https://www.amana-hac.com/images/default-source/products/aszv4-150.png,
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ASZH5,https://www.amana-hac.com/images/default-source/default-album/asxn4-150.png,UP TO 16 SEER2 and 8 HSPF2
Heat Pumps,https://www.amana-hac.com/images/default-source/categories/amn-heatpump-sm.png,ALZS5B,https://www.amana-hac.com/images/default-source/products/asxc7.jpg,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AMST R-32,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,15.2 SEER2
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AHVE R-32,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,115V AHVE R-32,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AMVT R-32,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,ACST,https://www.amana-hac.com/images/default-source/products/acst-r32.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AWST R-32,https://www.amana-hac.com/images/default-source/products/awst-r32.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AHVE,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,115V AHVE,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AMVT,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AMST,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,15.2 SEER2
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AMVE,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,MBVK,https://www.amana-hac.com/images/default-source/products/mbvk.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,MBVB,https://www.amana-hac.com/images/default-source/products/mbvk.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,MBVC,https://www.amana-hac.com/images/default-source/products/mbvk.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AWST,https://www.amana-hac.com/images/default-source/default-album/awst.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AWSF,https://www.amana-hac.com/images/default-source/default-album/awst.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,ACSF,https://www.amana-hac.com/images/default-source/products/amn-acnf-left.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AVPTC,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,ASPT,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,ARUF,https://www.amana-hac.com/images/default-source/products/amn-aruf-left.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,ACNF,https://www.amana-hac.com/images/default-source/products/amn-acnf-left.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,AVPEC,https://www.amana-hac.com/images/default-source/default-album/amn-aspt-ah-rt.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,CSCF,https://www.amana-hac.com/images/default-source/products/amn-cscf-lft.png,
Air Handlers and Coils,https://www.amana-hac.com/images/default-source/products/amana-amvt.png,CHPF,https://www.amana-hac.com/images/default-source/new-amana-product-images/amn-chpf.png,
