product_line_name,product_line_image,model_name,model_image,efficiency
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,AccuComfort™ Variable Speed Platinum 20 Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F09%2FAccuComfort-variable-speed-platinum-20-air-conditioner-262x300.png&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,AccuComfort™ Variable Speed Platinum 18 Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Faccucomfort-variable-speed-platinum-18-air-conditioner-262x300.png&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,AccuComfort™ Variable Speed Platinum 17 Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2023%2F05%2Fplatinum-17-ac-hp-262x300.png&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,Gold 17 Multi-Speed Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2025%2F01%2Fgold_17_hp-min-244x300.png&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,Gold 16 Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fgold-17-air-conditioner-262x300.png&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,Silver 15 Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F09%2Fcq5dam.web_.1280.1280-248x300.jpeg&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,Silver 14 Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F09%2Fcq5dam.web_.1280.1280-248x300.jpeg&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,Silver 13 Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F09%2Fcq5dam.web_.1280.1280-248x300.jpeg&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,Silver 15 Low Profile Air Conditioner,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fsilver-16-low-profile-air-conditioner-262x300.png&w=3840&q=75,
Air conditioners,https://www.americanstandardair.com/products/air-conditioners/,All Weather™ Top Accessory – AC,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fall-weather%E2%84%A2-top-accessory-262x300.png&w=3840&q=75,
Furnace,https://www.americanstandardair.com/products/furnaces/,Platinum 95 Gas Furnace,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fplatinum-95-gas-furnace-262x300.png&w=3840&q=75,
Furnace,https://www.americanstandardair.com/products/furnaces/,Platinum 80 Gas Furnace,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fplatinum-80-gas-furance-262x300.png&w=3840&q=75,
Furnace,https://www.americanstandardair.com/products/furnaces/,S9V2-VS Gas Furnace,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fgold-s9v2-vs-gas-furnace-262x300.png&w=3840&q=75,
Furnace,https://www.americanstandardair.com/products/furnaces/,Platinum S8V2-C Furnace,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fplatinum-s8v2-c-gas-furnace-262x300.png&w=3840&q=75,
Furnace,https://www.americanstandardair.com/products/furnaces/,Gold 80V Gas Furnace,https://www.americanstandardair.com/_next/image/?url=https%3A%2F%2Flive-asa-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F10%2Fgold-80v-gas-furnace-262x300.png&w=3840&q=75,
