product_line_name,product_line_image,model_name,model_image,efficiency
Air Conditioners,,Evolution™ Extreme Variable Speed Air Conditioner,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739218905/bryant/products/air-conditioners/evolution-variable-speed-air-conditioner-red-shield-191VAN.png",Up to 21 SEER2
Air Conditioners,,PREFERRED™ 2- STAGE AIR CONDITIONER WITH INTELISENSE TECHNOLOGY™,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739218838/bryant/products/air-conditioners/preferred-2-stage-air-conditioner-148T.png",Up to 18 SEER2
Air Conditioners,,PREFERRED™ 2- STAGE AIR CONDITIONER WITH INTELISENSE TECHNOLOGY™,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739218838/bryant/products/air-conditioners/preferred-2-stage-air-conditioner-148T.png",Up to 18 SEER2
Air Conditioners,,PREFERRED™ SINGLE-STAGE AIR CONDITIONER WITH INTELISENSE TECHNOLOGY™,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739218944/bryant/products/air-conditioners/preferred-single-stage-air-conditioner-with-intelisense-technology-146SAN.png",Up to 16.5 SEER2
Air Conditioners,,LEGACY™ LINE SINGLE-STAGE AIR CONDITIONER,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739218763/bryant/products/air-conditioners/legacy-single-stage-air-conditioner-135SAN.png",Up to 16.5 SEER2
Air Conditioners,,LEGACY™ LINE SINGLE-STAGE COASTAL AIR CONDITIONER,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739218737/bryant/products/air-conditioners/legacy-single-stage-air-conditioner-135SAN---C.png",Up to 16.5 SEER2
Boilers,,Preferred™ Series BW5 Boiler,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1685022419/bryant/products/boilers/preferred-series-BW5-boiler-model-BW5.png",
Boilers,,Preferred™ Series BW4 Boiler,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1685022538/bryant/products/boilers/preferred-series-BW4-boiler-model-BW4.png",
Boilers,,Preferred™ Series BW3 Boiler,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1685022646/bryant/products/boilers/preferred-series-BW3-boiler-model-BW3.png",
Boilers,,Legacy™ Line BS2 Boiler,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1685022788/bryant/products/boilers/preferred-series-boiler.png",
Boilers,,Legacy™ Line BWB Boiler,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1654093539/bryant/products/boilers/legacy-line-BWB-boiler-model-BWB.png",
Crossover Solutions,,PREFERREDTMCROSSOVER HEAT PUMP,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1734537206/bryant/products/crossover-solutions/preferred-compact--heat-pump-37MUHA.png",Up to 19 SEER2
Crossover Solutions,,LEGACYTMCOMPACT CROSSOVER HEAT PUMP,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1734537991/bryant/products/crossover-solutions/preferred-compact-crossover-heat-pump-37MURA.png",Up to 18.8 SEER2
Crossover Solutions,,Preferred™ Multipoise Crossover Evaporator Coil,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1734537410/bryant/products/crossover-solutions/multipoise-cased-a-evaporator-coil-45mula.png",
Crossover Solutions,,Preferred™ Crossover Air Handler,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1734537619/bryant/products/crossover-solutions/air-handler-crossover-system-45MUHA.png",Dependent upon outdoor unit pairing
Crossover Solutions,,Legacy™ Air Handler Crossover Unit,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1734538251/bryant/products/crossover-solutions/air-handler-crossover-system-45MUAA.png",Dependent upon outdoor unit pairing
Ductless Systems,,Evolution™ Heat Pump with Basepan Heater,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1717505752/bryant/products/ductless/evolution-heat-pump-with-basepan-heater-37mpraq.png",Up to 35.1 SEER2
Ductless Systems,,Evolution™ Heat Pump with Basepan Heater,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1726161210/bryant/products/ductless/evolution-heat-pump-37MAHAQ.png",Up to 27.5 SEER2
