product_line_name,product_line_image,model_name,model_image,efficiency
Air Conditioners,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1600779553/carrier/residential-hvac/products/air-conditioners/infinity-26-greenspeed-air-conditioner-24vna6-cropped.png",26VNA1 - Infinity®Variable-Speed Central Air Conditioner with Greenspeed®Intelligence,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739906493/carrier/residential-hvac/products/air-conditioners/infinity-variable-speed-ac-unit-26vna1.png",Up to 21
Air Conditioners,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1600779553/carrier/residential-hvac/products/air-conditioners/infinity-26-greenspeed-air-conditioner-24vna6-cropped.png",26TPA8 - Performance™ 2-Stage Air Conditioner,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739220470/carrier/residential-hvac/products/air-conditioners/performance-17-2-stage-air-conditioner-26TPA8.png",Up to 18
Air Conditioners,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1600779553/carrier/residential-hvac/products/air-conditioners/infinity-26-greenspeed-air-conditioner-24vna6-cropped.png",26TPA8***C - Performance™ 2-Stage Coastal Air Conditioner,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739220470/carrier/residential-hvac/products/air-conditioners/performance-17-2-stage-air-conditioner-26TPA8.png",Up to 18
Air Conditioners,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1600779553/carrier/residential-hvac/products/air-conditioners/infinity-26-greenspeed-air-conditioner-24vna6-cropped.png",26SPA6 - Performance™ Air Conditioner with InteliSense™ Technology,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739220362/carrier/residential-hvac/products/air-conditioners/performance-air-conditioner-with-intelisense-technology-26SPA6.png",Up to 16.5
Air Conditioners,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1600779553/carrier/residential-hvac/products/air-conditioners/infinity-26-greenspeed-air-conditioner-24vna6-cropped.png",26SCA5 - Comfort™ Air Conditioner,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739220355/carrier/residential-hvac/products/air-conditioners/comfort-air-conditioner-26SCA5.png",Up to 16.5
Air Conditioners,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1600779553/carrier/residential-hvac/products/air-conditioners/infinity-26-greenspeed-air-conditioner-24vna6-cropped.png",26SCA5***C - Comfort™ Coastal Air Conditioner,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739220357/carrier/residential-hvac/products/air-conditioners/comfort-coastal-air-conditioner-26SCA5---c.png",Up to 16.5
Air Conditioners,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1600779553/carrier/residential-hvac/products/air-conditioners/infinity-26-greenspeed-air-conditioner-24vna6-cropped.png",26SCA4 - Comfort™ Central Air Conditioner,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1739220449/carrier/residential-hvac/products/air-conditioners/comfort-14-central-air-conditioner-26SCA4.png",Up to 16
Furnaces,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1684506023/carrier/residential-hvac/products/gas-furnaces/infinity-90-gas-furnace-cropped.png",59MN7 - Infinity® 98 Gas Furnace With Greenspeed® Intelligence,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1728566323/carrier/residential-hvac/products/gas-furnaces/infinity-98-gas-furnace-with-greenspeed-intelligence-59MN7.png",
Furnaces,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1684506023/carrier/residential-hvac/products/gas-furnaces/infinity-90-gas-furnace-cropped.png",59TN6 - Infinity® 96 Gas Furnace,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1728566322/carrier/residential-hvac/products/gas-furnaces/infinity-96-gas-furnace-59TN6.png",
Furnaces,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1684506023/carrier/residential-hvac/products/gas-furnaces/infinity-90-gas-furnace-cropped.png",59TN7 - Infinity® 97 Gas Furnace,"https://images.carriercms.com/image/upload/w_auto,c_lfill,q_auto,f_auto/v1730127614/carrier/residential-hvac/products/gas-furnaces/infinity-96-gas-furnace-59TN7.png",
