product_line_name,product_line_image,model_name,model_image,efficiency
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DAIKIN FIT Aurora Heat Pump - DH9VS,https://daikincomfort.com/images/default-source/products/residential-systems/whole-home---heat-pump/dh9vs.png,Up to 21 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DAIKIN FIT Heat Pump - DH7VS,https://daikincomfort.com/images/default-source/products/residential-systems/whole-home---heat-pump/dz6vsa6010_rqtr_rgb_lr.png,Up to 19 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DAIKIN FIT Heat Pump - DH6VS,https://daikincomfort.com/images/default-source/products/residential-systems/whole-home---heat-pump/daikin-fit-unit-r32.png,Up to 19 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DAIKIN FIT Heat Pump - DZ6VS,https://daikincomfort.com/images/default-source/home-solutions/home-additions/daikin-fit-unit.png,Up to 17.5 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DAIKIN VRV LIFE,https://daikincomfort.com/images/default-source/products/residential-systems/whole-home---heat-pump/vrv-life-trans-sm.png,Up to 18 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,SkyAir FTQ Ducted,https://daikincomfort.com/images/default-source/products/residential-systems/whole-home---heat-pump/skyair_2.png,
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DZ9VC,https://daikincomfort.com/images/default-source/1-year-warranty/dx5se.png,Up to 21 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DH7TC,https://daikincomfort.com/images/default-source/1-year-warranty/dz7tce9504dc0-6c7c-4ff8-9456-538304631ee8.png,Up to 17.5 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DZ7TC,https://daikincomfort.com/images/default-source/1-year-warranty/dz7tc.png,Up to 17.2 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DH5SE,https://daikincomfort.com/images/default-source/1-year-warranty/dz7tc148f9d6d-126c-428c-973d-e3c127619e74.png,Up to 15.2 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DZ5SE,https://daikincomfort.com/images/default-source/1-year-warranty/dx5see2df9a07-0d4b-4259-9d54-450fd5ff89d1.png,Up to 15.2 SEER2 Level
Whole Home Heat Pumps,https://d1rpi6kt0akbt7.cloudfront.net/images/default-source/tax-credits/home-heat-pump-split.png?sfvrsn=f82f3b0f_3,DH4SE,https://daikincomfort.com/images/default-source/1-year-warranty/dx4se228ecd27-6127-4f2e-aa2c-4a40103b517c.png,Up to 15.2 SEER2 Level
