product_line_name,product_line_image,model_name,model_image,efficiency
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,R-32 GLXS4M,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gsxn44d8f550022fa6258827eff0c00754798.png,Up to 15.2 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,R-32 GLXS4B,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gsxn44d8f550022fa6258827eff0c00754798.png,Up to 15.2 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,GSXV9,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gsxn4.jpg,22.5 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,GSXS6,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gsxs6.png,Up to 17.2 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,GXV6S,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gsxs6.png,Up to 17.2 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,GXV9S,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gxv9sb32a690022fa6258827eff0e00754798.png,Up to 19 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,GSXC7,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gsxc7.jpg,17.2 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,GLXT7C,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gsxc7.jpg,17.2 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,GSXH5,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gszh503610_front_rgb_lr.png,Up to 15.2 SEER2
Air Conditioners,https://www.goodmanmfg.com/images/librariesprovider6/default-album/dsx-dsz-.jpg,R-32 GLXS5B,https://www.goodmanmfg.com/images/librariesprovider6/default-album/gszh503610_front_rgb_lr.png,Up to 16.5 SEER2
