product_line_name,product_line_image,model_name,model_image,efficiency
furnaces,,SLP99V Variable-Capacity Gas Furnace,https://www.lennox.com/dA/4e5724a728/slp99v-prod-thumb.png/180h,99 SEER2
furnaces,,"SL297NV Variable-Speed, Ultra-Low Emissions Gas Furnace",https://www.lennox.com/dA/e90670413a/sl297nv-prod-thumb.png/180h,97 SEER2
furnaces,,SL280V Variable-Speed Gas Furnace,https://www.lennox.com/dA/4bf421ca4f/sl280v-prod-thumb.png/180h,80 SEER2
furnaces,,"SL280NV Variable-Speed, Ultra-Low Emissions Gas Furnace",https://www.lennox.com/dA/b6b5f684f7/sl280nv-prod-thumb.png/180h,80 SEER2
furnaces,,EL297V Gas Furnace,https://www.lennox.com/dA/44f9a033cd/el296v-prod-thumb.png/180h,97 SEER2
furnaces,,EL297E Gas Furnace,https://www.lennox.com/dA/05089168e8/EL297E Product Thumbnail.png/180h,97 SEER2
furnaces,,"EL296V High-Efficiency, Two-Stage Gas Furnace",https://www.lennox.com/dA/44f9a033cd/el296v-prod-thumb.png/180h,96 SEER2
furnaces,,"EL296E High-Efficiency, Two-Stage Gas Furnace",https://www.lennox.com/dA/9a61b38122/el296e-prod-thumb.png/180h,96 SEER2
furnaces,,EL280E Gas Furnace,https://www.lennox.com/dA/959b0c2389/el280e-prod-thumb.png/180h,80 SEER2
furnaces,,EL196EK Gas Furnace,https://www.lennox.com/dA/9a61b38122/el296e-prod-thumb.png/180h,96 SEER2
furnaces,,EL196E Gas Furnace,https://www.lennox.com/dA/d3462577ad/el196e-prod-thumb.png/180h,96 SEER2
furnaces,,EL195NEK Ultra-Low Emissions Gas Furnace,https://www.lennox.com/dA/47921d76b0/ResidentialThumbnailImageEliteFurnace.png/180h,95 SEER2
furnaces,,EL195NE Ultra-Low Emissions Gas Furnace,https://www.lennox.com/dA/583f430b3e/el195ne-prod-thumb.png/180h,95 SEER2
furnaces,,EL180NEK Ultra-Low Emissions Gas Furnace,https://www.lennox.com/dA/47921d76b0/ResidentialThumbnailImageEliteFurnace.png/180h,
furnaces,,EL180NE Ultra-Low Emissions Gas Furnace,https://www.lennox.com/dA/f29db80351/el180ne-prod-thumb.png/180h,80 SEER2
furnaces,,ML296V Gas Furnace,https://www.lennox.com/dA/f9d906b6a1/ml296v-prod-thumb.png/180h,96 SEER2
furnaces,,ML196EK Gas Furnace,https://www.lennox.com/dA/0910f41908/ResidentialThumbnailImageMeritFurnace.png/180h,
furnaces,,ML196E Gas Furnace,https://www.lennox.com/dA/7eba94a3fb/ml196e-prod-thumb.png/180h,96 SEER2
furnaces,,ML193EK Gas Furnace,https://www.lennox.com/dA/0910f41908/ResidentialThumbnailImageMeritFurnace.png/180h,
furnaces,,ML193E Gas Furnace,https://www.lennox.com/dA/f95bf2ed2c/ml193e-prod-thumb.png/180h,93 SEER2
