product_line_name,product_line_image,model_name,model_image,efficiency
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,20 TruComfort™ Variable Speed Air Conditioner with WeatherGuard™,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F08%2Fair-conditioner-xv20i-lg-259x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,XV20i TruComfort™ Variable Speed Air Conditioner,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F08%2Fair-conditioner-xv20i-lg-259x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,18 TruComfort™ Variable Speed Air Conditioner,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2024%2F04%2FTR_14-18_SEER2_AC-HP_BTY_2024-251x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,XV18 TruComfort™ Variable Speed Air Conditioner,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F08%2Fair-conditioner-xv18-lg-259x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,XV17 TruComfort™ Variable Speed Air Conditioner,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2023%2F05%2FXV17_AC_HP-1-261x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,17 Multi-Speed Air Conditioner with WeatherGuard™,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F03%2FXL15i_AC-216x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,XL17i Air Conditioner,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F03%2Fxl17i-air-conditioner-216x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,17 Multi-Speed Air Conditioner,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2024%2F10%2F4TTR7024_XR-angle01-cropped-258x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,XR16 Air Conditioner,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F03%2Fxr16-air-conditioner-251x300.png&w=3840&q=75,
Air conditioners,https://live-trane-headless-cms.pantheonsite.io/wp-content/uploads/2022/03/xr17-air-conditioners-lg.png,15 Single-Stage Air Conditioner with WeatherGuard™ Top,https://www.trane.com/_next/image/?url=https%3A%2F%2Flive-trane-headless-cms.pantheonsite.io%2Fwp-content%2Fuploads%2F2022%2F03%2FXL15i_AC-216x300.png&w=3840&q=75,SEER2 of up to 17
