product_line_name,product_line_image,model_name,model_image,efficiency
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,Y92V 97%+ AFUE Two Stage Variable Speed Furnace,https://tyco.widen.net/content/fqbysntrmz/jpeg/DS_residentialproductfamily_productcardimage_Y9_SMPS_Clean_YOR.jpeg?position=c&color=ffffffff&quality=80&u=ytcytf,Y92V 97%+ AFUE Two Stage Variable Speed Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,Y82V 80% AFUE Two Stage Variable Speed Furnace,https://tyco.widen.net/content/tcdyqbnnzi/jpeg/DS_residentialproductfamily_productcardimage_Y8_SMPS_Clean_YOR.jpeg?position=c&color=ffffffff&quality=80&u=ytcytf,Y82V 80% AFUE Two Stage Variable Speed Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,TM9Y 96% AFUE Two Stage Furnace,https://embed.widencdn.net/img/tyco/mgqcaergbq/exact/DX_residentialproductfamily_productcardimage_tm9y_1.jpeg?position=c&crop=no&color=ffffffff&u=pm2g2j,TM9Y 96% AFUE Two Stage Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,Y91E 96% AFUE Single Stage Furnace,https://tyco.widen.net/content/nowo1x2kjb/jpeg/DS_residentialproductfamily_productcardimage_Y9_SMPS_Clean.jpeg?position=c&color=ffffffff&quality=80&u=qm5dza,Y91E 96% AFUE Single Stage Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,TM9E 95% AFUE Single Stage Furnace,https://embed.widencdn.net/img/tyco/oeobnlnajm/exact/DX_residentialproductfamily_productcardimage_tm9e_1.jpeg?position=c&crop=no&color=ffffffff&u=pm2g2j,TM9E 95% AFUE Single Stage Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,TL9E 95% AFUE Single Stage Ultra Low NOx Furnace,https://embed.widencdn.net/img/tyco/y6ajeijren/exact/DX_residentialproductfamily_productcardimage_tl9e_1.jpeg?position=c&crop=no&color=ffffffff&u=pm2g2j,TL9E 95% AFUE Single Stage Ultra Low NOx Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,Y82E 80% AFUE Two Stage Furnace,https://tyco.widen.net/content/zdc9ky494o/jpeg/DX_residentialproductfamily_productcardimage_y81e_door_on_f.jpeg?position=c&color=ffffffff&quality=80&u=ze8ywt,Y82E 80% AFUE Two Stage Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,Y92E 97% AFUE Two Stage Furnace,https://tyco.widen.net/content/58midlnd5y/jpeg/DS_residentialproductfamily_productcardimage_Y9_40SMPS_Clean.jpeg?position=c&color=ffffffff&quality=80&u=qm5dza,Y92E 97% AFUE Two Stage Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,Y81E 80% AFUE Single Stage Furnace,https://tyco.widen.net/content/zdc9ky494o/jpeg/DX_residentialproductfamily_productcardimage_y81e_door_on_f.jpeg?position=c&color=ffffffff&quality=80&u=ze8ywt,Y81E 80% AFUE Single Stage Furnace
Furnaces,https://www.york.com/-/media/project/jci-global/york-sites/united-states-york/residential/images/residential-products/york-residential-products-furnaces.png?la=en&h=559&w=850&hash=1A20FAFC110F0A9F934F0336CC463174,YPLC 80% AFUE Modulating Gas Furnace,https://embed.widencdn.net/img/tyco/rludddlhri/exact/DX_residentialproductfamily_productcardimage_yplc_1.jpeg?position=c&crop=no&color=ffffffff&u=pm2g2j,YPLC 80% AFUE Modulating Gas Furnace
